101,64,20,2
100,2,0,0
92,27,4,0
105,10,0,0
109,130,91,20
99,65,16,1
86,11,0,0
112,29,3,0
102,64,10,0
112,8,1,0
74,28,3,0
94,215,141,56
93,95,41,11
81,41,3,0
101,1,0,0
95,227,143,31
100,6,0,0
91,241,157,78
118,50,6,0
77,319,415,343
96,116,77,16
99,25,1,1
106,75,15,5
104,31,9,0
82,67,16,1
115,58,8,4
126,3,0,0
93,222,187,75
83,256,354,195
112,66,17,2
90,87,19,10
108,38,9,0
94,197,137,53
96,282,314,185
87,304,287,187
110,35,3,0
99,288,348,143
90,1,0,0
124,143,62,13
95,35,9,0
88,115,43,8
113,88,26,3
111,17,0,0
113,34,9,1
89,6,0,0
121,37,6,3
94,471,964,885
94,26,1,0
91,131,84,12
93,234,195,79
102,198,106,46
99,144,103,30
104,243,224,84
77,95,25,5
119,120,61,10
94,29,1,0
87,36,1,0
107,311,355,181
107,282,280,185
104,116,71,21
112,290,251,103
106,2,0,0
93,126,58,21
100,147,86,24
97,48,11,0
107,1,0,0
112,122,72,8
98,5,0,0
92,99,45,10
112,31,2,0
113,50,8,1
87,107,33,7
95,14,3,0
101,44,6,2
102,96,48,2
111,15,0,0
105,399,605,533
94,341,442,266
82,473,1001,993
107,121,52,11
102,214,200,70
83,63,15,2
107,4,0,0
105,77,27,2
111,69,5,1
81,173,93,48
104,577,1096,1012
98,6,0,0
100,13,1,0
108,15,7,0
103,366,608,557
90,27,3,0
91,54,14,0
87,120,102,22
99,163,114,49
108,15,1,0
113,77,29,1
103,29,0,0
98,195,142,79
83,34,4,0
91,95,42,10
105,137,62,7
111,429,760,746
100,51,10,0
85,178,55,15
94,1273,6296,16024
104,26,1,0
94,5,0,0
122,17,1,0
112,3,0,0
105,83,46,0
105,73,22,5
125,169,97,42
105,56,8,1
88,13,0,0
129,161,111,30
104,118,71,16
89,19,2,0
93,84,19,1
114,38,14,1
81,54,9,1
95,9,0,0
94,5,0,0
105,63,14,0
91,91,36,10
86,18,2,0
104,74,17,3
111,40,8,0
98,213,267,122
97,10,0,0
113,57,19,2
112,74,34,4
81,64,5,0
119,24,2,0
98,195,184,87
88,82,20,3
89,89,38,3
99,32,8,0
120,66,15,0
84,19,2,0
102,17,1,0
91,39,9,0
117,202,165,57
92,167,110,29
93,101,31,9
83,15,2,0
102,59,17,3
94,366,555,455
111,343,584,469
